"Muni_ID","ID","Muni","barley","maize","oat","rice","rye","triticale","wheat","total"
205,"1840205","Beja",146285.58,11117.77,72068.5,1324.32,0,45460.94,197824.61,474081.72
206,"1840206","Castro Verde",25049.34,254.61,71667.86,158.92,0,24445.98,34204.18,155780.89
207,"1840207","Cuba",16155.13,84.87,7788.96,0,0,1836.13,13868.21,39733.3
208,"1840208","Ferreira do Alentejo",41414.7,39718.46,12266.73,10753.48,0,31200.79,59448.3,194802.46
209,"1840209","Mértola",11821.22,0,46698.41,0,0,37030.83,49050.96,144601.42
210,"1840210","Moura",23044.1,0,19242.62,0,0,7183.69,67674.43,117144.84
212,"1840212","Ourique",8101.82,26309.23,34372.76,582.7,0,18428.3,25198.25,112993.06
213,"1840213","Serpa",66464.04,2291.45,25688.25,0,0,21591.27,69402.22,185437.23
214,"1840214","Vidigueira",14715.88,3819.08,10027.84,0,0,991.78,19923.13,49477.71
1403,"1851403","Almeirim",0,101126.24,325.13,12689.23,0,0,1885.2,116025.8
1404,"1851404","Alpiarça",2646.19,95654.48,285.72,0,0,1082.93,4405.86,104075.18
1103,"1851103","Azambuja",1557.47,48941.86,147.78,23535.62,0,0,11311.19,85493.92
1405,"1851405","Benavente",7772.25,107408.63,2453.22,152586.66,0,2604.18,4893.04,277717.98
1406,"1851406","Cartaxo",5791.38,64242.52,433.5,3211.8,159.46,0,3728.03,77566.69
1407,"1851407","Chamusca",2434.5,267204.31,2669.97,29011.47,0,657.49,16034.77,318012.51
1409,"1851409","Coruche",4158.3,366911.95,2374.4,129893.47,15.95,1933.8,5719.14,511007.01
1412,"1851412","Golegã",3099.83,390014.94,571.43,0,0,0,7095.97,400782.17
1414,"1851414","Rio Maior",1814.53,35769.1,512.32,0,0,0,5655.59,43751.54
1415,"1851415","Salvaterra de Magos",1300.41,142671.09,1004.93,22482.57,79.73,0,4448.22,171986.95
1416,"1851416","Santarém",16134.21,220086.37,8541.94,842.44,534.18,2978.05,35501.03,284618.22
801,"1500801","Albufeira",106.8,0,0,0,0,0,1063.97,1170.77
802,"1500802","Alcoutim",0,0,181.7,0,0,0,153.36,335.06
803,"1500803","Aljezur",405.84,7904.68,1288.44,0,65.82,0,2933.1,12597.88
804,"1500804","Castro Marim",0,173.1,0,0,0,0,86.27,259.37
805,"1500805","Faro",32.04,288.49,0,0,0,263.25,143.78,727.56
806,"1500806","Lagoa",0,0,107.37,7806.19,0,0,220.46,8134.02
807,"1500807","Lagos",234.96,1269.36,165.18,0,0,305.71,824.34,2799.55
808,"1500808","Loulé",405.84,288.49,313.85,0,0,0,0,1008.18
809,"1500809","Monchique",10.68,2481.03,313.85,0,0,152.86,565.53,3523.95
810,"1500810","Olhão",0,0,0,0,0,0,0,0
811,"1500811","Portimão",0,750.08,0,0,0,0,105.44,855.52
812,"1500812","São Brás de Alportel",0,115.4,16.52,479.71,0,0,0,611.63
813,"1500813","Silves",405.84,2884.92,776.36,4622.66,0,50.95,1802.04,10542.77
814,"1500814","Tavira",32.04,807.78,57.81,0,0,0,498.44,1396.07
815,"1500815","Vila do Bispo",2552.52,461.59,660.74,0,0,1154.91,2156.69,6986.45
816,"1500816","Vila Real de Santo António",0,57.7,57.81,0,0,0,258.8,374.31
