GRID_NO,LATITUDE,LONGITUDE,evapo
63053,40.84796,-6.78222,1249.91
58050,39.59698,-7.34363,1430.88
58051,39.64791,-7.05926,1442.09
59052,39.91816,-6.83288,1499.37
60052,40.13821,-6.8918,1426.42
58046,39.38499,-8.47714,1339.01
54046,38.50813,-8.22821,1401.93
50047,37.68193,-7.71225,1405.03
70048,42.11315,-8.68497,855.07
64049,40.86078,-8.00274,1069.59
65049,41.07965,-8.06737,1021.04
64048,40.80692,-8.29174,1037.31
64052,41.0173,-7.13317,1156.72
65052,41.2368,-7.19497,1140.78
66056,41.65463,-6.08444,1178.66
47045,37.02611,-7.99694,1417.88
48043,37.11127,-8.72465,1281.74
48045,37.15727,-8.13669,1336.42
49048,37.51334,-7.37886,1351.87
63047,40.53369,-8.51446,1029.44
60046,39.82271,-8.60513,1275.37
61045,39.97015,-8.86985,1005.25
60048,39.9312,-8.03565,1353.32
60049,39.9842,-7.75029,1353.32
61049,40.20352,-7.81251,1353.32
57044,39.05547,-8.97665,1339.01
58044,39.27408,-9.04147,1263.04
56044,38.84427,-8.89962,1328.57
56045,38.89218,-8.63218,1339.01
51045,37.79562,-8.32393,1378.17
54045,38.45392,-8.50718,1305.92
55050,38.93705,-7.16648,1396.59
56048,39.05361,-7.78903,1395.79
56049,39.10578,-7.50719,1422.32
57050,39.37711,-7.28402,1314.36
52049,38.22554,-7.27299,1459.59
52050,38.27611,-6.99421,1434.34
53049,38.44577,-7.33073,1433.89
54048,38.61411,-7.66912,1439.89
54049,38.66589,-7.38901,1456.78
