Muni_ID,ID,Muni,tot_input,irrig_tot_input,diff_tot_input,gnb,irrig_gnb,diff_gnb,nue,irrig_nue,diff_nue
1707,1181707,Murça,26.146991447,26.666926211,0.519934763999999,14,15,1,43,42,-1
1712,1181712,Valpaços,67.050227738,67.214083489,0.163855751,50,50,0,24,24,0
1713,1181713,Vila Pouca de Aguiar,65.3,65.3,0,24,24,0,62,62,0
411,1180411,Vimioso,45.801443575,45.801443575,0,26,26,0,43,43,0
412,1180412,Vinhais,78.501407701,78.501407701,0,54,54,0,30,30,0
101,1610101,Águeda,266.6,297.5888124,30.9888124,124,155,31,53,47,-6
102,1610102,Albergaria-a-Velha,341,349.556528768,8.55652876799996,184,192,8,46,44,-2
103,1610103,Anadia,101.200776142,102.171786009,0.971009866999992,66,67,1,34,34,0
105,1610105,Aveiro,204.2976861,218.30621333,14.00852723,90,104,14,55,52,-3
108,1610108,Estarreja,290,410.574636,120.574636,47,168,121,83,59,-24
110,1610110,Ílhavo,310.26289385,324.5200593,14.25716545,206,221,15,33,31,-2
111,1610111,Mealhada,185.6,191.745,6.14500000000001,119,125,6,35,34,-1
112,1610112,Murtosa,350.5,386.3980167,35.8980167,49,85,36,85,77,-8
114,1610114,Oliveira do Bairro,148.605164727,185.139965177,36.53480045,59,96,37,59,48,-11
115,1610115,Ovar,423.839973034,461.035794914,37.19582188,98,135,37,76,70,-6
117,1610117,Sever do Vouga,681,726.41967593,45.4196759299999,567,612,45,16,15,-1
118,1610118,Vagos,225.7,238.67455994,12.97455994,78,91,13,65,61,-4
602,1620602,Cantanhede,159,170.22874805,11.22874805,49,60,11,69,64,-5
603,1620603,Coimbra,159.20404051,188.1078637,28.90382319,94,123,29,40,34,-6
604,1620604,Condeixa-a-Nova,104.395291135,121.306756475,16.91146534,59,76,17,42,36,-6
605,1620605,Figueira da Foz,183.713039306,239.843416866,56.13037756,60,116,56,67,51,-16
608,1620608,Mira,311.9,334.35533147,22.45533147,137,159,22,55,52,-3
610,1620610,Montemor-o-Velho,219.507083474,222.598945674,3.09186220000001,73,76,3,66,65,-1
613,1620613,Penacova,138.546883249,143.419266603,4.87238335400002,87,92,5,36,35,-1
