Muni_ID,ID,Muni,m_app99_nha
713,1830713,Viana do Alentejo,0.106560697080139
714,1830714,Vila Viçosa,0.035543621894328
201,1840201,Aljustrel,0.0563428639932866
202,1840202,Almodôvar,0.0559062985538425
203,1840203,Alvito,0.0949947601422454
204,1840204,Barrancos,0.0854448111477815
205,1840205,Beja,0.0285084849548146
206,1840206,Castro Verde,0.039813416901538
207,1840207,Cuba,0.163044191051884
208,1840208,Ferreira do Alentejo,0.0606671843989991
209,1840209,Mértola,0.043589770934702
210,1840210,Moura,0.0501961600613514
212,1840212,Ourique,0.108261620485094
213,1840213,Serpa,0.0460774154784739
214,1840214,Vidigueira,0.0255648103731484
1403,1851403,Almeirim,0.0289970268962179
1404,1851404,Alpiarça,0.0200827586206897
1103,1851103,Azambuja,0.259531046045147
1405,1851405,Benavente,0.458430304714273
1406,1851406,Cartaxo,1.4181744530429
1407,1851407,Chamusca,0.0865884591126689
1409,1851409,Coruche,0.102065060744455
1412,1851412,Golegã,0.0189519720648005
1414,1851414,Rio Maior,1.29354779969651
1415,1851415,Salvaterra de Magos,0.198241818920016
1416,1851416,Santarém,0.638874413094671
801,1500801,Albufeira,0.0311001080656253
802,1500802,Alcoutim,0.0232073693230506
803,1500803,Aljezur,0.0833992955491515
804,1500804,Castro Marim,0.0374144131521181
805,1500805,Faro,0.0265424532156574
806,1500806,Lagoa,0.217948649252065
807,1500807,Lagos,0.111856594110115
808,1500808,Loulé,0.030633064516129
809,1500809,Monchique,0.550253136414166
810,1500810,Olhão,0.0215747989982865
811,1500811,Portimão,0.214632112985054
812,1500812,São Brás de Alportel,0.0177980258162491
813,1500813,Silves,0.0773258673693456
814,1500814,Tavira,0.0291336717428088
815,1500815,Vila do Bispo,0.0461214998280014
816,1500816,Vila Real de Santo António,0.041322203672788
