Muni_ID,ID,Muni,fertiliser
1208,1821208,Fronteira,0.826933333333333
1209,1821209,Gavião,1.64453333333333
1210,1821210,Marvão,0.629066666666667
1211,1821211,Monforte,0.5096
707,1820707,Mora,0.5488
1212,1821212,Nisa,0.7168
1213,1821213,Ponte de Sor,0.578666666666667
1214,1821214,Portalegre,0.561866666666667
701,1830701,Alandroal,0.56
702,1830702,Arraiolos,0.5824
703,1830703,Borba,0.5768
704,1830704,Estremoz,0.563733333333333
705,1830705,Évora,0.664533333333333
706,1830706,Montemor-o-Novo,0.4648
708,1830708,Mourão,0.2632
709,1830709,Portel,0.530133333333333
710,1830710,Redondo,0.608533333333333
711,1830711,Reguengos de Monsaraz,0.701866666666667
1215,1831215,Sousel,0.9072
712,1830712,Vendas Novas,0.378933333333333
713,1830713,Viana do Alentejo,0.410666666666667
714,1830714,Vila Viçosa,0.9576
201,1840201,Aljustrel,1.38693333333333
202,1840202,Almodôvar,0.518933333333333
203,1840203,Alvito,0.6888
204,1840204,Barrancos,0.1736
205,1840205,Beja,1.25253333333333
206,1840206,Castro Verde,0.5152
207,1840207,Cuba,0.854933333333333
208,1840208,Ferreira do Alentejo,1.26
209,1840209,Mértola,0.384533333333333
210,1840210,Moura,0.731733333333334
212,1840212,Ourique,0.4928
213,1840213,Serpa,0.950133333333333
214,1840214,Vidigueira,0.868
1403,1851403,Almeirim,1.75093333333333
1404,1851404,Alpiarça,1.932
1103,1851103,Azambuja,2.40426666666667
1405,1851405,Benavente,1.2656
1406,1851406,Cartaxo,1.8144
1407,1851407,Chamusca,0.896
1409,1851409,Coruche,0.461066666666667
1412,1851412,Golegã,4.13466666666667
1414,1851414,Rio Maior,0.248266666666667
1415,1851415,Salvaterra de Magos,2.1392
1416,1851416,Santarém,1.75466666666667
801,1500801,Albufeira,2.01226666666667
802,1500802,Alcoutim,1.20213333333333
803,1500803,Aljezur,1.1648
804,1500804,Castro Marim,1.4392
805,1500805,Faro,2.464
806,1500806,Lagoa,0.8736
807,1500807,Lagos,1.6016
808,1500808,Loulé,1.8928
809,1500809,Monchique,0.289333333333333
810,1500810,Olhão,2.35013333333333
811,1500811,Portimão,1.86293333333333
812,1500812,São Brás de Alportel,1.5008
813,1500813,Silves,1.96933333333333
814,1500814,Tavira,1.6464
815,1500815,Vila do Bispo,0.84
816,1500816,Vila Real de Santo António,1.3608
