Muni_ID,Muni,Full_ID,nuts3_name,nuts3_ID,nuts2_ID
411,VIMIOSO,1180411,TERRAS DE TRÁS-OS-MONTES,11E,11
304,CABECEIRAS DE BASTO,1150304,AVE,119,11
1303,FELGUEIRAS,1151303,TÂMEGA E SOUSA,11C,11
705,ÉVORA,1830705,ALENTEJO CENTRAL,187,18
1405,BENAVENTE,1851405,LEZÍRIA DO TEJO,185,18
702,ARRAIOLOS,1830702,ALENTEJO CENTRAL,187,18
404,FREIXO DE ESPADA À CINTA,1170404,DOURO,11D,11
1813,RESENDE,1151813,TÂMEGA E SOUSA,11C,11
712,VENDAS NOVAS,1830712,ALENTEJO CENTRAL,187,18
110,ÍLHAVO,1610110,REGIÃO DE AVEIRO,16D,16
615,SOURE,1620615,REGIÃO DE COIMBRA,16E,16
914,VILA NOVA DE FOZ CÔA,1170914,DOURO,11D,11
103,ANADIA,1610103,REGIÃO DE AVEIRO,16D,16
305,CELORICO DE BASTO,1150305,TÂMEGA E SOUSA,11C,11
1818,SERNANCELHE,1171818,DOURO,11D,11
403,CARRAZEDA DE ANSIÃES,1170403,DOURO,11D,11
604,CONDEIXA-A-NOVA,1620604,REGIÃO DE COIMBRA,16E,16
1606,PONTE DA BARCA,1111606,ALTO MINHO,111,11
905,FORNOS DE ALGODRES,1670905,BEIRAS E SERRA DA ESTRELA,16J,16
1505,GRÂNDOLA,1811505,ALENTEJO LITORAL,181,18
1112,SOBRAL DE MONTE AGRAÇO,16B1112,OESTE,16B,16
709,PORTEL,1830709,ALENTEJO CENTRAL,187,18
106,CASTELO DE PAIVA,1150106,TÂMEGA E SOUSA,11C,11
1608,VALENÇA,1111608,ALTO MINHO,111,11
117,SEVER DO VOUGA,1610117,REGIÃO DE AVEIRO,16D,16
1011,NAZARÉ,16B1011,OESTE,16B,16
714,VILA VIÇOSA,1830714,ALENTEJO CENTRAL,187,18
904,FIGUEIRA DE CASTELO RODRIGO,1680904,BEIRAS E SERRA DA ESTRELA,16J,16
1203,AVIS,1821203,ALTO ALENTEJO,186,18
505,IDANHA-A-NOVA,1690505,BEIRA BAIXA,16H,16
1820,TAROUCA,1171820,DOURO,11D,11
1805,LAMEGO,1171805,DOURO,11D,11
1215,SOUSEL,1831215,ALTO ALENTEJO,186,18
1114,VILA FRANCA DE XIRA,1711114,ÁREA METROPOLITANA DE LISBOA,170,17
1509,SANTIAGO DO CACÉM,1811509,ALENTEJO LITORAL,181,18
1817,SÁTÃO,1651817,VISEU DÃO LAFÕES,16G,16
803,ALJEZUR,1500803,ALGARVE,150,15
301,AMARES,1120301,CÁVADO,112,11
507,PENAMACOR,1690507,BEIRA BAIXA,16H,16
401,ALFÂNDEGA DA FÉ,1180401,TERRAS DE TRÁS-OS-MONTES,11E,11
307,FAFE,1130307,AVE,119,11
509,SERTÃ,1660509,MÉDIO TEJO,16I,16
707,MORA,1820707,ALENTEJO CENTRAL,187,18
502,CASTELO BRANCO,1690502,BEIRA BAIXA,16H,16
1210,MARVÃO,1821210,ALTO ALENTEJO,186,18
1412,GOLEGÃ,1851412,LEZÍRIA DO TEJO,185,18
616,TÁBUA,1640616,REGIÃO DE COIMBRA,16E,16
201,ALJUSTREL,1840201,BAIXO ALENTEJO,184,18
711,REGUENGOS DE MONSARAZ,1830711,ALENTEJO CENTRAL,187,18
1205,CASTELO DE VIDE,1821205,ALTO ALENTEJO,186,18
1503,ALMADA,1721503,ÁREA METROPOLITANA DE LISBOA,170,17
202,ALMODÔVAR,1840202,BAIXO ALENTEJO,184,18
504,FUNDÃO,16A0504,BEIRAS E SERRA DA ESTRELA,16J,16
1007,CASTANHEIRA DE PÊRA,1641007,REGIÃO DE LEIRIA,16F,16
1204,CAMPO MAIOR,1821204,ALTO ALENTEJO,186,18
208,FERREIRA DO ALENTEJO,1840208,BAIXO ALENTEJO,184,18
1511,SESIMBRA,1721511,ÁREA METROPOLITANA DE LISBOA,170,17
1415,SALVATERRA DE MAGOS,1851415,LEZÍRIA DO TEJO,185,18
601,ARGANIL,1640601,REGIÃO DE COIMBRA,16E,16
1307,MARCO DE CANAVESES,1151307,TÂMEGA E SOUSA,11C,11
508,PROENÇA-A-NOVA,1660508,BEIRA BAIXA,16H,16
912,SEIA,1670912,BEIRAS E SERRA DA ESTRELA,16J,16
402,BRAGANÇA,1180402,TERRAS DE TRÁS-OS-MONTES,11E,11
1508,PALMELA,1721508,ÁREA METROPOLITANA DE LISBOA,170,17
1705,MONDIM DE BASTO,1151705,AVE,119,11
506,OLEIROS,1660506,BEIRA BAIXA,16H,16
1701,ALIJÓ,1171701,DOURO,11D,11
210,MOURA,1840210,BAIXO ALENTEJO,184,18
214,VIDIGUEIRA,1840214,BAIXO ALENTEJO,184,18
1406,CARTAXO,1851406,LEZÍRIA DO TEJO,185,18
614,PENELA,1640614,REGIÃO DE COIMBRA,16E,16
1002,ALVAIÁZERE,1641002,REGIÃO DE LEIRIA,16F,16
603,COIMBRA,1620603,REGIÃO DE COIMBRA,16E,16
1823,VISEU,1651823,VISEU DÃO LAFÕES,16G,16
1811,PENALVA DO CASTELO,1651811,VISEU DÃO LAFÕES,16G,16
1212,NISA,1821212,ALTO ALENTEJO,186,18
405,MACEDO DE CAVALEIROS,1180405,TERRAS DE TRÁS-OS-MONTES,11E,11
1507,MONTIJO,1721507,ÁREA METROPOLITANA DE LISBOA,170,17
1416,SANTARÉM,1851416,LEZÍRIA DO TEJO,185,18
612,PAMPILHOSA DA SERRA,1640612,REGIÃO DE COIMBRA,16E,16
412,VINHAIS,1180412,TERRAS DE TRÁS-OS-MONTES,11E,11
1806,MANGUALDE,1651806,VISEU DÃO LAFÕES,16G,16
1413,MAÇÃO,1661413,MÉDIO TEJO,16I,16
1013,PEDRÓGÃO GRANDE,1641013,REGIÃO DE LEIRIA,16F,16
1107,LOURES,1711107,ÁREA METROPOLITANA DE LISBOA,170,17
1111,SINTRA,1711111,ÁREA METROPOLITANA DE LISBOA,170,17
1809,NELAS,1651809,VISEU DÃO LAFÕES,16G,16
611,OLIVEIRA DO HOSPITAL,1640611,REGIÃO DE COIMBRA,16E,16
1502,ALCOCHETE,1721502,ÁREA METROPOLITANA DE LISBOA,170,17
1419,TORRES NOVAS,16C1419,MÉDIO TEJO,16I,16
1512,SETÚBAL,1721512,ÁREA METROPOLITANA DE LISBOA,170,17
1302,BAIÃO,1151302,TÂMEGA E SOUSA,11C,11
1008,FIGUEIRÓ DOS VINHOS,1641008,REGIÃO DE LEIRIA,16F,16
1301,AMARANTE,1151301,TÂMEGA E SOUSA,11C,11
213,SERPA,1840213,BAIXO ALENTEJO,184,18
807,LAGOS,1500807,ALGARVE,150,15
1003,ANSIÃO,1641003,REGIÃO DE LEIRIA,16F,16
609,MIRANDA DO CORVO,1640609,REGIÃO DE COIMBRA,16E,16
410,VILA FLOR,1170410,TERRAS DE TRÁS-OS-MONTES,11E,11
1710,SABROSA,1171710,DOURO,11D,11
0,Mêda,1680909,BEIRAS E SERRA DA ESTRELA,16J,16
1401,ABRANTES,16C1401,MÉDIO TEJO,16I,16
1109,MAFRA,1711109,ÁREA METROPOLITANA DE LISBOA,170,17
205,BEJA,1840205,BAIXO ALENTEJO,184,18
1812,PENEDONO,1171812,DOURO,11D,11
1404,ALPIARÇA,1851404,LEZÍRIA DO TEJO,185,18
617,VILA NOVA DE POIARES,1640617,REGIÃO DE COIMBRA,16E,16
407,MIRANDELA,1180407,TERRAS DE TRÁS-OS-MONTES,11E,11
