aquifer_ID,gw_type,recharge,drainage99,drainage09,Diff_drainage,,,,
71,Aq,8,9.3E+08,3.2E+08,-6.1E+08,,,,
72,Aq,13,2.0E+09,2.6E+09,5.6E+08,,,,
73,Ind,3.5,1.1E+09,5.1E+08,-6.1E+08,,,,
74,Aq,18,4.8E+09,1.9E+09,-3.0E+09,,,,
75,Aq,50,5.4E+09,4.7E+09,-6.4E+08,,,,
76,Aq,3.5,2.8E+09,2.2E+09,-6.2E+08,,,,
77,Aq,50,4.5E+09,3.3E+09,-1.2E+09,,,,
78,Aq,50,1.3E+09,1.6E+09,2.5E+08,,,,
79,Ind,3.5,3.5E+07,3.7E+07,1.4E+06,,,,
80,Aq,50,1.5E+09,6.6E+08,-8.8E+08,,,,
81,Aq,50,2.0E+08,5.5E+07,-1.5E+08,,,,
82,Aq,18,4.3E+09,3.5E+09,-8.0E+08,,,,
83,Aq,18,2.8E+09,1.5E+09,-1.3E+09,,,,
84,Aq,50,5.5E+09,3.3E+09,-2.3E+09,,,,
85,Ind,3.5,4.3E+11,2.9E+11,-1.4E+11,,,,
86,Aq,50,7.1E+08,5.9E+07,-6.5E+08,,,,
87,Aq,50,3.6E+08,1.3E+08,-2.4E+08,,,,
88,Aq,28,5.6E+09,1.5E+09,-4.1E+09,,,,
89,Ind,3.5,5.2E+09,7.3E+08,-4.5E+09,,,,
90,Aq,28,2.9E+10,9.1E+09,-1.9E+10,,,,
91,Ind,3.5,1.5E+10,3.9E+09,-1.1E+10,,,,
92,Aq,28,1.8E+09,1.4E+09,-4.5E+08,,,,
93,Ind,3.5,4.4E+10,1.6E+10,-2.8E+10,,,,
