"Muni_ID","ID","Muni","total_cereals","total_citrus","total_dried_fruits","total_fresh_fruits","total_horticulture","total_industry","total_olive_grove","total_potato","total_pulses","total_vineyard","total_municipality"
314,"1130314","Vizela",13810.68,47.23,66.47,19.55,78.49,0,0,11.89,11.55,432.46,14478.32
107,"1140107","Espinho",1915.93,0,0,0,28.55,0,11.6,35.67,22.59,12.01,2026.35
1304,"1141304","Gondomar",27242.17,63.22,209.02,17.48,1377.15,0,40.62,1295.93,90.61,596.63,30932.83
1306,"1141306","Maia",16445.08,22.58,31.38,10.09,884.8,0,0,1307.82,11.29,220.23,18933.27
1308,"1141308","Matosinhos",6865.42,35.94,0,10.09,406.72,0,5.8,475.57,0,20.02,7819.56
1312,"1141312","Porto",478.98,0,0,3.86,14.27,0,11.6,11.89,0,4,524.6
1313,"1141313","Póvoa de Varzim",8621.69,16,0,2.17,4566.72,0,0,332.9,45.18,156.17,13740.83
1315,"1141315","Valongo",20632.2,11.29,31.38,6.08,128.44,0,11.6,642.02,11.29,416.44,21890.74
1316,"1141316","Vila do Conde",16205.59,246.53,0,15.36,599.38,0,0,737.13,11.29,216.23,18031.51
1317,"1141317","Vila Nova de Gaia",26472.75,58.53,76.59,31.72,1127.41,0,75.43,297.23,159.13,284.3,28583.09
1301,"1151301","Amarante",106479.27,96.34,536.34,54.79,171.26,0,551.22,380.46,1344.51,6683.09,116297.28
1302,"1151302","Baião",43121.23,360.94,781.28,117.28,71.35,0,249.5,142.67,1152,4428.7,50424.95
304,"1150304","Cabeceiras de Basto",45516,11.29,97.61,12.42,7.14,0,446.78,344.79,203.55,2414.56,49054.14
106,"1150106","Castelo de Paiva",29819.19,31.23,143.32,17.97,14.27,0,208.88,83.22,452.28,1665.77,32436.13
305,"1150305","Celorico de Basto",74461.54,70.57,380.57,36.24,7.14,0,406.16,202.12,881.2,4072.32,80517.86
1804,"1151804","Cinfães",52806.58,235.98,221.97,162.14,21.41,0,400.36,463.68,282.35,1285.36,55879.83
1303,"1151303","Felgueiras",69333.75,33.88,177.93,57.87,178.39,0,5.8,511.24,237.43,4436.71,74973
1305,"1151305","Lousada",52219.62,31.23,73.13,17.53,64.22,0,5.8,297.23,135.79,3091.28,55935.83
1307,"1151307","Marco de Canaveses",61779.95,255.18,495.1,57.28,135.57,0,116.05,166.45,1107.08,3968.21,68080.87
1705,"1151705","Mondim de Basto",32800.85,0,125.54,0,14.28,0,139.26,11.89,463.06,1765.87,35320.75
1309,"1151309","Paços de Ferreira",22694.86,11.29,0,2.17,64.22,0,0,309.12,124.24,340.36,23546.26
1310,"1151310","Paredes",56011.95,31.23,38.29,25.92,85.62,0,5.8,1141.37,158.63,2178.31,59677.12
1311,"1151311","Penafiel",98643.54,128.33,192.49,50.65,385.32,0,58.02,511.24,90.61,5005.31,105065.51
1813,"1151813","Resende",22055.78,51.18,1511.16,1983.11,14.27,0,237.89,701.47,101.65,2094.22,28750.73
1709,"1151709","Ribeira de Pena",34325.24,0,240.63,20.18,0,0,185.67,59.45,146.82,868.92,35846.91
104,"1160104","Arouca",47815.27,11.29,121.5,51.42,42.81,0,290.12,225.9,90.35,556.59,49205.25
113,"1160113","Oliveira de Azeméis",23975,35.94,3.45,22.31,78.5,0,0,47.56,34.14,132.14,24329.04
109,"1160109","Santa Maria da Feira",42533.15,31.99,34.84,2.17,35.68,0,0,463.68,248.98,56.06,43406.55
116,"1160116","São João da Madeira",0,0,0,0,0,0,0,0,0,0,0
119,"1160119","Vale de Cambra",30383.69,0,6.91,6.08,0,0,0,0,237.18,620.66,31254.52
1701,"1171701","Alijó",2020.96,173.38,2750.18,134.18,28.55,0,1976.68,240.14,52.95,13308.83,20685.85
1801,"1171801","Armamar",245.09,100.67,776.36,5798.36,0,0,1231.26,503.15,17.65,4271.7,12944.24
403,"1170403","Carrazeda de Ansiães",5525.32,291.35,4683.43,1690.54,0,0,3156.02,1475.13,88.83,5674.57,22585.19
404,"1170404","Freixo de Espada à Cinta",2787.53,643.18,16358.35,64.62,0,0,4743.3,137.22,17.65,2666.55,27418.4
1805,"1171805","Lamego",1852.89,50.34,510.19,2369.44,171.25,0,472.85,526.02,88.24,6020.4,12061.62
1704,"1171704","Mesão Frio",0,38.58,119.39,28.73,0,0,98.64,0,0,4072.32,4357.66
1807,"1171807","Moimenta da Beira",7777.04,0,1624.18,2937.91,92.76,0,509.93,1280.74,108.02,537.23,14867.81
1812,"1171812","Penedono",5135.74,0,7112.62,273.33,0,0,661.99,617.5,17.65,295.8,14114.63
1708,"1171708","Peso da Régua",142.66,33.56,223.49,30.46,7.14,0,472.85,34.31,35.3,8193.23,9173
1710,"1171710","Sabrosa",2452.89,39.15,306.57,195.02,57.09,0,951.26,263.01,35.89,6357.52,10658.4
1711,"1171711","Santa Marta de Penaguião",71.33,11.19,335.81,12.34,0,0,394.97,0,0,6103.05,6928.69
1815,"1171815","São João da Pesqueira",2533.5,111.86,12018.2,613.25,7.14,0,4926.88,365.92,0,16353.83,36930.58
1818,"1171818","Sernancelhe",8932.31,6.03,4502.09,1095.98,313.96,0,474.7,1886.8,359.15,1054.88,18625.9
1819,"1171819","Tabuaço",2373.02,61.52,1162.37,378.09,14.27,0,2095.36,1257.87,213.33,4628.4,12184.23
1820,"1171820","Tarouca",2370.24,0,781.3,1508.54,7.14,0,526.62,365.92,52.95,704.7,6317.41
409,"1170409","Torre de Moncorvo",6092.42,425.14,47958.04,282.23,356.78,0,9482.89,457.41,124.13,3710.55,68889.59
410,"1170410","Vila Flor",2704.24,397.84,9743.78,775.67,228.33,0,8173.75,148.66,17.65,3762.75,25952.67
914,"1170914","Vila Nova de Foz Côa",1159.95,134.31,30112.26,81.1,7.14,0,7040.78,22.87,36.47,11238.23,49833.11
1714,"1171714","Vila Real",13748.57,16.78,1125.8,303.09,156.98,0,993.9,2012.59,619.47,5420.1,24397.28
401,"1180401","Alfândega da Fé",658.05,39.15,34761.33,400.67,21.41,0,11068.32,34.31,36.47,641.62,47661.33
1702,"1181702","Boticas",50780.12,0,794.63,33.85,0,0,24.11,3087.49,0,274.05,54994.25
402,"1180402","Bragança",79084.4,12.07,31313,813.87,164.12,0,5468.33,3476.29,237.59,1326.75,121896.42
1703,"1181703","Chaves",162110.46,0,7631.62,356.62,292.56,0,806.62,14362.55,464.3,4626.23,190650.96
405,"1180405","Macedo de Cavaleiros",28887.25,6.03,12582.16,712.4,135.58,0,16056.38,686.11,364.8,1613.85,61044.56
406,"1180406","Miranda do Douro",47328.19,0,2236.39,454.45,0,0,1724.5,1360.78,842.7,2425.12,56372.13
407,"1180407","Mirandela",25415.86,80.94,21491.92,1366.3,470.94,0,26295.83,754.72,491.51,2931.9,79299.92
408,"1180408","Mogadouro",37683.95,0,28567.72,565.42,14.28,0,11954.67,766.16,2001.22,3523.5,85076.92
1706,"1181706","Montalegre",95698.79,0,1083.27,44.79,7.14,0,1.85,7044.05,70.59,102.22,104052.7
1707,"1181707","Murça",2723.96,0,4935.01,196.46,21.41,0,2360.52,594.63,229.43,3769.28,14830.7
1712,"1181712","Valpaços",48522.8,5.59,43766.72,1036.49,64.22,0,9909.38,5591.79,373.93,5696.32,114967.24
1713,"1181713","Vila Pouca de Aguiar",30079.58,0,2363.49,65.59,214.07,0,139.07,3327.63,229.43,502.43,36921.29
411,"1180411","Vimioso",25997.3,0,6636.91,444.03,49.95,0,4125.82,1200.69,622.02,1057.05,40133.77
412,"1180412","Vinhais",52324.18,6.03,24346.24,427.31,199.79,0,1318.41,2469.99,71.77,1470.3,82634.02
101,"1610101","Águeda",113026.07,92.09,81.18,66.81,92.76,13.16,35.97,999.26,192.92,369.78,114970
102,"1610102","Albergaria-a-Velha",120471.59,18.26,6.29,3.6,64.22,0,0,729.62,160.54,69.53,121523.65
103,"1610103","Anadia",65132.14,94.74,277.35,50.6,463.81,197.37,323.74,3663.94,260.76,5429.74,75894.19
105,"1610105","Aveiro",130088.11,65.16,34.3,10.85,2747.16,0,0,1316.48,576.56,91.65,134930.27
108,"1610108","Estarreja",89180.47,0,0,0,42.82,0,215.83,63.44,113.53,12.64,89628.73
110,"1610110","Ílhavo",53763.25,9.13,0,3.35,313.96,0,0,1205.45,47.9,3.16,55346.2
111,"1610111","Mealhada",39443.23,113.81,143.5,55.21,192.66,13.16,924.97,856.5,80.28,2503.12,44326.44
112,"1610112","Murtosa",40680.91,0,0,0,585.11,0,0,15.86,15.97,0,41297.85
114,"1610114","Oliveira do Bairro",61618.67,86.88,200.99,23.67,606.52,13.16,35.97,2125.4,128.61,1109.34,65949.21
115,"1610115","Ovar",43844.73,0,35.77,0,228.33,0,0,31.72,31.93,0,44172.48
117,"1610117","Sever do Vouga",41340.63,76.49,37.73,46.89,28.54,0,5.14,190.33,127.73,44.25,41897.73
118,"1610118","Vagos",94403.69,30.85,0,7.5,1641.17,0,0,4393.55,417.77,104.3,100998.83
602,"1620602","Cantanhede",115385.66,214.22,723.27,128.12,2304.76,315.78,1490.22,3473.6,968.43,6422.14,131426.2
603,"1620603","Coimbra",340137.09,513.52,514.52,219.84,1833.82,0,1875.63,1633.7,507.59,2468.35,349704.06
604,"1620604","Condeixa-a-Nova",47561.36,77.3,308.71,25.14,235.47,0,2764.62,428.25,519.16,594.17,52514.18
605,"1620605","Figueira da Foz",273098.42,82.15,34.3,44.77,563.7,0,46.25,396.53,565.44,176.99,275008.55
608,"1620608","Mira",26777.08,186.02,0,33.67,713.55,0,0,2109.54,160.11,6.32,29986.29
610,"1620610","Montemor-o-Velho",548383.71,101.22,34.3,38.74,1876.63,120.6,765.67,1728.87,628.87,395.06,554073.67
613,"1620613","Penacova",25649.19,45.64,6.29,25.64,35.68,27.77,863.3,824.78,404.31,316.05,28198.65
615,"1620615","Soure",258673.98,73.02,205.81,119.33,849.12,105.26,4784.13,333.09,568.82,723.75,266436.31
1004,"1631004","Batalha",15644.81,9.13,63.78,471.15,221.2,0,878.72,301.36,228.23,625.78,18444.16
1009,"1631009","Leiria",176794.07,91.28,534.47,1046.33,1733.92,81.85,1865.35,745.48,1179.08,1599.21,185671.04
1010,"1631010","Marinha Grande",6987.4,27.38,29.48,37.82,85.63,0,10.28,31.72,32.38,15.8,7257.89
1015,"1631015","Pombal",165500.98,82.15,200.99,69.87,713.55,198.09,3710.14,856.5,2218.89,1219.95,174771.11
1016,"1631016","Porto de Mós",8688.91,30.85,436.28,1127.24,142.71,13.88,4963.98,459.97,308.95,281.28,16454.05
1002,"1641002","Alvaiázere",4777.3,27.38,122.74,55.79,14.27,27.77,5220.92,31.72,261.93,287.61,10827.43
1003,"1641003","Ansião",18568.69,18.26,102.9,8.67,28.55,0,7954.71,0,820.8,660.54,28163.12
601,"1640601","Arganil",27533.14,0,112.62,41.14,7.14,27.04,1675.22,142.75,223.53,79.01,29841.59
1007,"1641007","Castanheira de Pêra",627.47,0,25.15,11.1,0,0,251.8,47.58,15.97,9.48,988.55
1008,"1641008","Figueiró dos Vinhos",5081.5,18.26,100.04,27.52,0,0,966.08,301.36,47.9,154.86,6697.52
606,"1640606","Góis",3903.61,0,12.58,0,7.14,0,241.52,79.31,64.74,9.48,4318.38
607,"1640607","Lousã",8025.22,9.13,53.17,28.65,57.09,13.16,256.94,190.33,161.87,72.69,8868.25
609,"1640609","Miranda do Corvo",6851.38,27.38,246.4,73.47,64.22,0,950.66,174.47,162.31,420.35,8970.64
611,"1640611","Oliveira do Hospital",29568.15,18.26,1202.37,131.77,14.27,0,3843.75,1490.95,387.3,474.07,37130.89
612,"1640612","Pampilhosa da Serra",2353.01,9.13,81.45,83.44,0,0,1423.42,0,0,75.85,4026.3
1013,"1641013","Pedrógão Grande",6730.97,9.13,100.04,21.54,14.27,0,1567.3,15.86,0,25.28,8484.39
614,"1640614","Penela",6621.09,0,171.51,12.57,0,0,2774.9,190.33,226.62,499.36,10496.38
616,"1640616","Tábua",30254.83,9.13,344.79,61.08,28.54,13.88,2142.84,729.62,666.08,335.01,34585.8
617,"1640617","Vila Nova de Poiares",5906.26,9.13,40.59,20.31,14.27,13.88,344.29,222.06,96.68,28.44,6695.91
901,"1650901","Aguiar da Beira",68919.29,0,891.91,570.51,7.14,0,590.95,3378.44,999.32,259.16,75616.72
1802,"1651802","Carregal do Sal",17830.47,0,568.78,64.77,35.68,0,1315.51,190.33,241.99,916.54,21164.07
1803,"1651803","Castro Daire",91786.63,18.26,322.44,71.76,35.68,0,236.38,539.28,1006.34,132.74,94149.51
1806,"1651806","Mangualde",62643.09,39.97,995.32,370.6,64.22,0,2178.81,1935.07,848.17,2285.04,71360.29
1808,"1651808","Mortágua",34631.78,9.13,59.45,11.35,49.95,0,267.21,856.5,240.38,290.77,36416.52
1809,"1651809","Nelas",15489.53,9.13,129.03,88.58,49.95,0,3042.11,428.25,421.74,3602.97,23261.29
1810,"1651810","Oliveira de Frades",86187.35,18.26,193.81,21.54,0,0,82.22,269.64,718.5,154.86,87646.18
1811,"1651811","Penalva do Castelo",55719.71,0,348.45,334.1,7.14,0,1885.9,444.11,666.08,2895.02,62300.51
1814,"1651814","Santa Comba Dão",17687.65,27.38,159,34.85,71.36,27.77,560.12,697.89,420.27,376.1,20062.39
1816,"1651816","São Pedro do Sul",133956.98,36.51,648.94,139.08,235.47,92.1,472.76,856.5,1458.98,470.91,138368.23
1817,"1651817","Sátão",86346.64,0,1100.55,64.93,85.63,0,914.69,682.03,1020.88,1387.46,91602.81
1821,"1651821","Tondela",92906.01,314.63,765.03,165.49,264.02,92.83,2101.73,1078.56,1525.78,3704.11,102918.19
1822,"1651822","Vila Nova de Paiva",39474.21,0,443.46,3.6,0,0,5.14,333.09,111.77,3.16,40374.43
1823,"1651823","Viseu",149222.38,67.36,1469.37,741.02,114.17,13.88,4470.67,2046.09,2820.73,4462.63,165428.3
1824,"1651824","Vouzela",82571.03,0,182.69,239.19,21.41,0,400.82,142.75,1024.35,230.72,84812.96
1413,"1661413","Mação",1367.69,203.67,85.13,59.8,7.14,0,1924.47,0,9.91,128.91,3786.72
506,"1660506","Oleiros",5386.26,27.95,108.27,118.97,0,0,1376.22,0,9.91,49.17,7076.75
508,"1660508","Proença-a-Nova",4816.32,208.04,51.37,268.64,0,0,4387.87,0,10.32,159.48,9902.04
509,"1660509","Sertã",11773.86,27.95,439.18,78.21,7.14,0,2966.9,123.68,32,163.47,15612.39
510,"1660510","Vila de Rei",1020.19,9.32,47.13,26.33,0,0,430.77,0,10.32,23.92,1567.98
905,"1670905","Fornos de Algodres",34793.48,18.63,137.53,119.05,0,0,867.13,494.71,698.79,116.95,37246.27
906,"1670906","Gouveia",13203.3,9.32,713.53,401.85,313.97,0,1855.48,649.31,201.22,1117.69,18465.67
912,"1670912","Seia",12053.18,9.32,817.05,311.46,171.26,0,2608.86,535.94,220.62,700.38,17428.07
902,"1680902","Almeida",6527.15,0,97.56,47.65,0,0,531.47,298.89,0,693.74,8196.46
903,"1680903","Celorico da Beira",11950.85,0,271.82,212.84,35.68,0,1529.14,989.43,81.94,202.01,15273.71
904,"1680904","Figueira de Castelo Rodrigo",8896.03,9.32,5848.58,407.35,7.14,0,7975.75,340.12,52.22,2996.89,26533.4
907,"1680907","Guarda",34982.71,9.32,1383.47,1372.18,85.63,5.73,1279.25,2205.6,477.37,485.08,42286.34
908,"1680908","Manteigas",555.56,0,138.25,15.88,7.14,0,41.03,10.31,0,29.24,797.41
909,"1680909","Mêda",12794.37,9.32,6777.68,258.68,21.41,0,3548.71,206.13,84.62,3347.75,27048.67
910,"1680910","Pinhel",25747.99,0,1407.89,960.56,42.81,17.71,4402.79,2040.7,269.15,4926.6,39816.2
911,"1680911","Sabugal",29792.27,9.32,539.87,302.81,14.28,0,581.82,1422.3,146.54,300.35,33109.56
913,"1680913","Trancoso",24066.55,9.32,4873.97,478.05,14.27,0,2427.97,2638.48,146.33,1140.28,35795.22
502,"1690502","Castelo Branco",19776.98,686.02,581.73,774.57,121.31,26.56,16206.98,123.68,1082.83,996.75,40377.41
505,"1690505","Idanha-a-Nova",90209.57,418.98,3294.87,193.67,413.86,1744.4,12190.2,298.89,2015.55,208.65,110988.64
507,"1690507","Penamacor",23373.16,55.9,1100.75,103.06,49.95,2.87,5495.57,92.76,229.7,268.46,30772.18
511,"1690511","Vila Velha de Ródão",1737.47,121.12,77.25,56.84,0,398.47,4546.38,0,31.58,62.46,7031.57
501,"16A0501","Belmonte",22574.92,0,269.56,1744.24,99.9,0,798.13,154.6,59.43,865.18,26565.96
503,"16A0503","Covilhã",35499.77,27.95,342.89,5676.03,528.03,0,2306.76,639.01,373.34,936.95,46330.73
504,"16A0504","Fundão",57927.27,439.2,232.96,9473.37,278.28,1144.87,7990.67,329.81,471.57,1445.95,79733.95
1001,"16B1001","Alcobaça",72616.82,252.11,920.1,17958.16,2411.8,31.58,1159.53,4839.69,1434.27,1267.78,102891.84
1101,"16B1101","Alenquer",81669.02,156.12,2833.5,2404.12,1876.64,1097.37,325.71,1554.21,1134.98,23317.68,116369.35
1102,"16B1102","Arruda dos Vinhos",18613.36,13.71,1554.98,586.56,206.93,47.37,60.8,177.06,482.25,4500.09,26243.11
1005,"16B1005","Bombarral",6060.22,30.06,2481.55,15132.77,1726.79,15.79,4.34,1160.74,175.66,3431.38,30219.3
1104,"16B1104","Cadaval",4787.68,13.71,4251.18,14859.55,107.03,0,169.37,255.76,212.82,6700.36,31357.46
1006,"16B1006","Caldas da Rainha",38339.12,150.65,2517.34,14395.03,1576.94,0,199.77,1357.47,729.4,2970.37,62236.09
1108,"16B1108","Lourinhã",78813.98,27.43,509.3,3357.22,12001.91,0,26.06,19771.92,1763.51,1503.52,117774.85
1011,"16B1011","Nazaré",8127.66,13.71,168.45,976.68,2233.42,15.79,4.34,1239.43,171.01,104.78,13055.27
1012,"16B1012","Óbidos",16131.88,109.7,1955.06,8815.84,4010.16,15.79,13.03,1908.33,407.15,1178.72,34545.66
1014,"16B1014","Peniche",38213.08,13.71,42.11,313.32,10474.92,0,0,2046.05,1166.82,209.55,52479.56
1112,"16B1112","Sobral de Monte Agraço",32806.73,30.06,739.76,159.83,763.5,147.16,69.48,491.84,258.24,2105.98,37572.58
1113,"16B1113","Torres Vedras",148275.7,114.98,3674.45,6954.27,10674.7,0,56.46,7416.93,1925.82,24601.17,203694.48
1401,"16C1401","Abrantes",174055.31,507.38,14425.98,411.9,506.62,504,14839.35,432.82,1466.82,1896.43,209046.61
1402,"16C1402","Alcanena",10155.48,41.14,761.97,219.94,128.44,0,10066.61,19.67,80.26,272.42,21745.93
1408,"16C1408","Constância",67755.29,112.34,1233.75,12.61,7.14,0,521.14,0,0,36.67,69678.94
1410,"16C1410","Entroncamento",20865.7,54.85,0,30.5,199.79,0,78.17,0,0,41.91,21270.92
1411,"16C1411","Ferreira do Zêzere",6820.91,95.99,1067.81,851.98,71.35,0,5072.39,0,0,1351.6,15332.03
1421,"16C1421","Ourém",97400.5,115.07,399.93,237.6,92.76,0,8624.8,59.02,614.04,3939.54,111483.26
1417,"16C1417","Sardoal",2289.54,197.75,626.65,119.03,35.68,0,3713.09,19.67,0,466.25,7467.66
1418,"16C1418","Tomar",154682.2,763.66,2932.59,540.46,92.76,0,11043.74,118.04,241.9,4583.91,174999.26
1419,"16C1419","Torres Novas",241928.17,1474.89,6637.51,2395.45,1141.68,0,13979.47,432.82,80.26,4086.22,272156.47
1420,"16C1420","Vila Nova da Barquinha",9733.71,41.14,153.35,4.95,556.57,147,408.22,0,0,10.48,11055.42
1115,"1711115","Amadora",0,0,0,0,0,0,39.09,0,0,0,39.09
1105,"1711105","Cascais",415.89,224.13,56.13,0,78.49,0,195.43,0,0,89.06,1059.13
1106,"1711106","Lisboa",43.72,0,0,0,178.39,0,4.34,0,0,20.95,247.4
1107,"1711107","Loures",26879.52,71.2,195.46,73.12,6507.58,367.58,634.05,59.02,324.48,1550.67,36662.68
1109,"1711109","Mafra",109109.62,3172.52,2335.56,4488.03,6393.4,321.01,65.14,3265.81,2210.05,6239.35,137600.49
1116,"1711116","Odivelas",280.48,30.06,37.08,7.52,35.68,0,34.74,0,0,26.19,451.75
1110,"1711110","Oeiras",0,27.43,0,20.13,0,0,26.06,0,0,115.25,188.87
1111,"1711111","Sintra",77621.99,224.13,1074.79,542.65,4802.19,31.58,56.46,1416.5,258.24,518.64,86547.17
1114,"1711114","Vila Franca de Xira",533938.4,224.43,1398.04,350.37,17460.56,3008.38,134.63,432.82,2858,1603.06,561408.69
1502,"1721502","Alcochete",18281.06,54.85,10528,0,3382.23,0,0,1750.95,347.8,10.48,34355.37
1503,"1721503","Almada",4030.11,13.71,0,33.11,1434.24,0,34.74,78.69,260.57,20.95,5906.12
1504,"1721504","Barreiro",1296.79,27.43,0,0,64.22,0,78.17,98.37,0,20.95,1585.93
1506,"1721506","Moita",7080.53,216.58,0,51.13,556.57,0,4.34,708.25,0,20.95,8638.35
1507,"1721507","Montijo",211674.52,658.58,24003.84,219.59,4609.53,521.08,408.22,11154.9,131.45,4536.76,257918.47
1508,"1721508","Palmela",217615.65,2908.47,21881.34,1424.87,6257.83,0,382.17,8125.18,452.49,32679.32,291727.32
1510,"1721510","Seixal",0,57.49,0,18.24,7.14,0,82.51,0,0,73.34,238.72
1511,"1721511","Sesimbra",1982.44,191.44,4487.84,292.21,470.95,21,34.74,19.67,81.37,330.04,7911.7
1512,"1721512","Setúbal",2848.12,1061.97,4964.18,340.59,570.84,0,512.45,196.74,0,3185.16,13680.05
1501,"1811501","Alcácer do Sal",486829.63,941.28,420980.37,7.1,164.12,1533.54,6003.77,1681.79,2937.97,1340.01,922419.58
1505,"1811505","Grândola",87233.92,312.18,183986.55,88.46,385.32,833.33,2624.83,321.73,2723.4,531.58,279041.3
211,"1810211","Odemira",380266.64,3049.83,12616.71,667.1,11780.71,3464,2182.95,1579.42,4900.87,221.49,420729.72
1509,"1811509","Santiago do Cacém",435832.23,1606.08,29248.4,180.55,4930.63,1187.11,8358.71,73.12,2717.67,837.97,484972.47
1513,"1811513","Sines",25152.87,159.73,1416.87,37.39,563.71,0,26.46,131.62,519.28,11.07,28019
1201,"1821201","Alter do Chão",22549.8,79.86,576.1,8.33,28.54,0,8689.46,14.62,260.66,513.12,32720.49
1202,"1821202","Arronches",50171.25,39.93,1238.28,17.13,292.56,0,4723.11,43.87,0,280.55,56806.68
1203,"1821203","Avis",150633.85,159.73,15247.18,2.22,470.94,823.72,20178.4,43.87,2114.61,1159.13,190833.65
1204,"1821204","Campo Maior",176539.33,156.63,3247.84,1660.02,3146.76,5873.4,10920.04,0,1634.45,287.94,203466.41
1205,"1821205","Castelo de Vide",1392.53,9.98,1379.89,32.98,7.14,0,4945.37,0,0,59.06,7826.95
1206,"1821206","Crato",4813.58,9.98,14316.99,9.24,21.41,0,5680.96,0,0,339.62,25191.78
1207,"1821207","Elvas",273466.58,973.37,1061.58,1996.23,9368.91,1064.73,14447.16,292.49,3478.57,1314.17,307463.79
1208,"1821208","Fronteira",178491.84,9.98,253.43,0,71.36,0,8109.99,0,709.36,424.52,188070.48
1209,"1821209","Gavião",16337.61,89.85,7848.66,36.09,171.25,0,2492.53,43.87,215.16,435.6,27670.62
1210,"1821210","Marvão",876.97,19.97,5151.9,27.09,78.49,0,3775.84,190.12,0,284.25,10404.63
1211,"1821211","Monforte",73559.66,9.98,822.15,0,0,2068.27,4474.39,0,76,933.95,81944.4
707,"1820707","Mora",160321.76,139.76,4851.22,33.11,463.81,86.04,3513.89,14.62,1263.44,561.11,171248.76
1212,"1821212","Nisa",2840.03,39.93,4349,29.45,14.27,0,10832.72,0,126.62,409.76,18641.78
1213,"1821213","Ponte de Sor",142966.46,933.83,54898.2,325.44,2604.45,2926.89,6572.66,29.25,1170.16,191.96,212619.3
1214,"1821214","Portalegre",16583.22,274.95,2375.04,324.29,185.53,0,10419.95,102.37,0,2225.97,32491.32
701,"1830701","Alandroal",199757.65,129.78,4828.54,1107.91,1141.68,484.61,6273.67,0,720.4,2214.9,216659.14
702,"1830702","Arraiolos",165499.6,89.85,5806.72,0,1605.49,1835.74,3122.28,0,722.01,2244.43,180926.12
703,"1830703","Borba",36721.23,69.88,515.15,135.46,149.84,0,3151.39,14.62,126.67,5459.73,46343.97
704,"1830704","Estremoz",140837.22,69.88,7450.84,155.44,349.64,3561.34,11353.99,248.61,1313.99,6925.25,172266.2
705,"1830705","Évora",426617.66,182.4,2733.59,41.84,1919.45,3206.43,8872.04,102.37,846.93,7755.84,452278.55
706,"1830706","Montemor-o-Novo",143899.95,66.79,45065.37,69.02,2076.43,0,6670.57,14.62,468.69,1952.8,200284.24
708,"1830708","Mourão",40468.12,9.98,0,4.44,156.98,379.39,3757.32,0,304.01,1007.78,46088.02
709,"1830709","Portel",88461.17,69.88,5124.7,45.86,21.41,183.57,11121.14,0,0,509.43,105537.16
710,"1830710","Redondo",117848.11,119.8,3164.6,2.22,1569.81,575.2,6882.25,0,493.96,7951.49,138607.44
